filename,x,y,cluster
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_114-Camara_Amacayacu-7_crop0.npy",74.420784,2.341413,5
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_114-Camara_Amacayacu-7_crop0.npy",74.420784,2.341413,5
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114,115 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_114-Camara_Amacayacu-7_crop0.npy",70.11309,45.60833,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_114-Camara_Amacayacu-7_crop1.npy",68.03302,41.923046,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_114-Camara_Amacayacu-7_crop1.npy",68.3764,41.537884,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_114-Camara_Amacayacu-9_crop0.npy",74.791954,42.614655,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_114-Camara_Amacayacu-9_crop0.npy",74.79187,42.614784,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114 at , Serial_ T010987 Prueba Amacayacu 2024\features_2\2024-December-04_preset-Camara_Amacayacu-0_crop0.npy",66.587074,40.21685,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_preset-Camara_Amacayacu-0_crop0.npy",73.30041,46.5806,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_1\2024-December-04_preset-Camara_Amacayacu-0_crop0.npy",78.07478,-30.374733,5
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 311,313 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_preset-Camara_Amacayacu-0_crop0.npy",16.58998,51.87077,6
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114,115 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_114-Camara_Amacayacu-2_crop0.npy",66.38141,45.651917,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114,115 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_114-Camara_Amacayacu-8_crop0.npy",74.420784,2.341413,5
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 114,115 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_114-Camara_Amacayacu-8_crop1.npy",68.515175,41.970078,4
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 116 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_116-Camara_Amacayacu-6_crop0.npy",76.540985,-29.51901,5
